[BPS Process Server][2019-01-10 15:16:52,981][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 15:16:52,982][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 15:16:52,982][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 15:16:52,988][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 15:16:52,988][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 15:16:52,988][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 15:16:53,523][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 15:16:53,529][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 15:16:53,531][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 15:16:53,555][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 15:16:53,561][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 15:16:53,573][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 15:16:53,607][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 15:16:53,644][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 15:16:53,647][INFO] BPS Process Server start up in 1254 ms
[BPS Process Server][2019-01-10 15:16:53,649][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 15:19:53,563][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-10 15:39:07,574][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 15:39:07,792][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 15:39:07,792][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 15:39:08,112][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 15:39:08,132][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 15:39:08,134][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 15:39:08,135][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 15:39:08,136][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 15:39:08,136][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 15:39:08,144][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 15:39:08,144][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 15:39:08,144][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 15:39:08,689][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 15:39:08,696][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 15:39:08,698][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 15:39:08,715][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 15:39:08,717][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 15:39:08,728][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 15:39:08,768][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 15:39:08,801][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 15:39:08,804][INFO] BPS Process Server start up in 1251 ms
[BPS Process Server][2019-01-10 15:39:08,807][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 15:42:08,724][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-10 15:45:42,052][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 15:45:42,205][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 15:45:42,206][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 15:45:42,477][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 15:45:42,500][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 15:45:42,501][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 15:45:42,503][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 15:45:42,503][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 15:45:42,503][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 15:45:42,511][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 15:45:42,511][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 15:45:42,511][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 15:45:43,094][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 15:45:43,097][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 15:45:43,099][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 15:45:43,114][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 15:45:43,117][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 15:45:43,127][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 15:45:43,153][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 15:45:43,186][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 15:45:43,189][INFO] BPS Process Server start up in 1153 ms
[BPS Process Server][2019-01-10 15:45:43,191][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 15:48:43,129][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-10 15:50:08,697][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 15:50:08,832][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 15:50:08,833][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 15:50:09,124][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 15:50:09,143][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 15:50:09,146][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 15:50:09,147][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 15:50:09,148][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 15:50:09,148][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 15:50:09,154][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 15:50:09,154][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 15:50:09,155][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 15:50:09,665][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 15:50:09,670][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 15:50:09,671][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 15:50:09,684][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 15:50:09,687][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 15:50:09,696][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 15:50:09,724][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 15:50:09,755][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 15:50:09,758][INFO] BPS Process Server start up in 1074 ms
[BPS Process Server][2019-01-10 15:50:09,760][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 15:57:27,200][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 15:57:27,356][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 15:57:27,356][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 15:57:27,654][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 15:57:27,683][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 15:57:27,685][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 15:57:27,686][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 15:57:27,687][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 15:57:27,687][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 15:57:27,694][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 15:57:27,694][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 15:57:27,694][INFO] BPS Cluster Framework is False !
